treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
static,0.0,1,160,900,3.7222222222222223,1.2447916182395775,0.5015327854709354,0.017667450085291636,0.12185338899810495,0.9285143345364095
static,0.0,1,180,900,3.83,1.2013834617732269,0.5009955533780713,0.018755769934137564,0.12408328027043498,0.9247110490367473
static,0.0,1,200,900,3.727777777777778,1.113705304904686,0.507507612216031,0.018842592063490017,0.12102535731527522,0.9237616488311997
static,0.0,2,0,900,3.4766666666666666,1.7161034674841462,0.49021435044386763,0.1974969610625851,0.08298746135141098,0.0519698283617154
static,0.0,2,20,900,3.7844444444444445,1.554270898103467,0.5045093753981607,0.04022750132413031,0.0973756778628051,0.8255874060899948
static,0.0,2,40,900,4.093333333333334,1.4384250646685308,0.5105551684280111,0.025851991696449743,0.10995035570655538,0.8922748502790732
static,0.0,2,60,900,4.072222222222222,1.378528021540672,0.5128519900478322,0.019017901579132482,0.11510892921214079,0.9222654569359696
static,0.0,2,80,900,4.147777777777778,1.357835514320721,0.4994358511122481,0.02036652257031201,0.11821826426887426,0.9166200684668934
static,0.0,2,100,900,4.2122222222222225,1.2799590078312646,0.5000091309203754,0.02011255063214258,0.12061348133194857,0.9182594579058131
static,0.0,2,120,900,4.205555555555556,1.2279034626468999,0.5029042055823987,0.01953058854726136,0.12446460818459235,0.9217459153105624
static,0.0,2,140,900,4.2188888888888885,1.2110045824708642,0.5153761414191067,0.019295088713579545,0.1232853621813943,0.9232608941451889
static,0.0,2,160,900,4.1322222222222225,1.207966866522954,0.4987981054692701,0.018119482567384076,0.12435908773285402,0.9273446403166941
static,0.0,2,180,900,4.092222222222222,1.1903993520176122,0.48593765608367223,0.017659647470887625,0.12424702320367308,0.9299456417499554
static,0.0,2,200,900,4.104444444444445,1.1518980579037668,0.4920851492468492,0.019158007095850173,0.1263353812320681,0.9240374194038379
static,0.2,0,0,900,3.4766666666666666,1.7161034674841462,0.49021435044386763,0.1974969610625851,0.08298746135141098,0.0519698283617154
static,0.2,0,20,900,3.3666666666666667,1.549551906555928,0.4979212025499021,0.03863826251328722,0.09863227356391889,0.8330542598744791
