A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.8,0.0,1,40,2591,591,2000,0.5043602467790564,0.09727093190879813,2.988155668358714,0.7078889094812634,0.5773029714563761,0.7132400736516096,0.16273113967532254,0.009480645946380312
0.0,0.0,0.8,0.0,1,50,2594,594,2000,0.4891725809509283,0.09338775089572968,2.8484848484848486,0.7199008593224536,0.5664574890231032,0.7249331793816349,0.1799322784542547,0.008838505020627059
0.0,0.0,0.8,0.0,1,60,2595,595,2000,0.48641588257415974,0.09034137236796716,2.899159663865546,0.7171048965307585,0.5762820427918568,0.7219374393876365,0.058945533949963144,0.008346091807566718
0.0,0.0,0.8,0.0,1,70,2589,589,2000,0.49368927084473446,0.08795723970212357,2.7826825127334467,0.7239272561879577,0.5955614851167366,0.7283516226960647,0.1117377288515668,0.007776301318487943
0.0,0.0,0.8,0.0,1,80,2580,580,2000,0.5039966981199027,0.08436402961109844,2.8913793103448278,0.7209252163807979,0.6066638984421148,0.7251039713180468,0.032941862879162134,0.007133263088083927
0.0,0.0,0.8,0.0,1,90,2591,591,2000,0.49551759965085085,0.08619955675391303,2.922165820642978,0.7204395452505131,0.6391507628065999,0.7250233557334275,-0.027946501966328374,0.007450455497461126
0.0,0.0,0.8,0.0,1,100,2593,593,2000,0.4971419625448726,0.09283957734431973,2.8836424957841484,0.7256887673344328,0.6597331039521621,0.7314005516639918,0.07589395468469776,0.008627355499566836
0.0,0.0,0.8,0.0,2,0,300,300,0,0.4698073527221209,0.2901548449143544,2.8933333333333335,0.4985938347767287,0.4619114949989131,0.5350809058891216,0.1357958560242712,0.08510142997691945
0.0,0.0,0.8,0.0,2,10,2532,596,1936,0.5082876836856115,0.10179388283864117,3.7885906040268456,0.4540585443309782,0.5682752853062669,0.4597254594965938,-0.03784011221113762,0.010430680284239756
0.0,0.0,0.8,0.0,2,20,2596,596,2000,0.5043670050791547,0.08889512219905527,3.813758389261745,0.5445527917574774,0.611082817736911,0.5492590489439451,0.0388524788300329,0.007921413484146333
0.0,0.0,0.8,0.0,2,30,2596,596,2000,0.5054417495471248,0.08490823910310513,4.072147651006712,0.5950469452866641,0.6078138399698885,0.5989400178131272,0.1408870744679664,0.007239021705723706
0.0,0.0,0.8,0.0,2,40,2598,598,2000,0.504456132102381,0.08796220097879542,4.118729096989966,0.6382246011057223,0.5931429878862953,0.6429350536043478,0.15242675241207598,0.007757205914347869
0.0,0.0,0.8,0.0,2,50,2595,595,2000,0.5000327916533631,0.08970869486262327,4.309243697478991,0.6935358654665327,0.6010585870113753,0.6980519216444381,0.0631677231393934,0.00804765100924778
0.0,0.0,0.8,0.0,2,60,2598,598,2000,0.5014047304694512,0.08567251707339558,4.326086956521739,0.7089993665682626,0.6149130177864491,0.7135955574424568,0.05971600811416772,0.007341753449383062
0.0,0.0,0.8,0.0,2,70,2596,596,2000,0.4919577702571761,0.08683099768124355,4.4110738255033555,0.7278282551416808,0.5827128473060592,0.7321595075053943,0.09200675714735457,0.007604299617556485
0.0,0.0,0.8,0.0,2,80,2597,597,2000,0.5017975821098148,0.08655831137918564,4.430485762144054,0.7453173972577819,0.6004515378063487,0.7495514146886034,0.10714083792287019,0.007495572570257585
0.0,0.0,0.8,0.0,2,90,2600,600,2000,0.49407550810309886,0.08690080118620537,4.463333333333333,0.7514034938081693,0.5959140688741288,0.7560004489502116,0.02710578801085145,0.007586848851040841
0.0,0.0,0.8,0.0,2,100,2597,597,2000,0.489238455596808,0.08222555537594527,4.485762144053601,0.7660843803695909,0.5610312618223323,0.7700005843886192,0.09638097075246796,0.006876852794824512
0.0,0.0,0.8,0.3,0,0,300,300,0,0.5132107610258517,0.28947887523419147,2.9566666666666666,0.510365903247772,0.52191801768888,0.5534878481936377,0.0726864087178941,0.08397254341373474
0.0,0.0,0.8,0.3,0,10,2112,583,1529,0.5031696046730002,0.11329103003190578,3.5077186963979416,0.2566884398430195,0.6178180657989896,0.2640167734523566,0.18429205180277072,0.012844903879473285
0.0,0.0,0.8,0.3,0,20,2477,596,1881,0.49649787968178183,0.11486453343918876,3.4395973154362416,0.3884719887418192,0.585251282797749,0.396095544974464,0.07880307196722851,0.013206125888925791
0.0,0.0,0.8,0.3,0,30,2590,590,2000,0.518722091105873,0.10249812576316131,3.435593220338983,0.5202051112461964,0.5437426987243515,0.5260000894712002,0.06555597925182892,0.010856382480337438
0.0,0.0,0.8,0.3,0,40,2590,590,2000,0.5281426149247037,0.09450162800532094,3.3389830508474576,0.565959769775885,0.5591080938389127,0.5712399913536768,-0.0020787706228968085,0.009722564470456208
0.0,0.0,0.8,0.3,0,50,2596,596,2000,0.5204029468792806,0.09840031349435978,3.1493288590604025,0.6064830073556501,0.5343038668975529,0.6117749212232984,-0.024899230111680465,0.010098901937147029
0.0,0.0,0.8,0.3,0,60,2597,597,2000,0.500649721503054,0.08493815777759171,3.1725293132328307,0.6608748307712705,0.5340938268345925,0.6647081226847863,0.038038919302559,0.007214912784682595
0.0,0.0,0.8,0.3,0,70,2595,595,2000,0.5016069901104646,0.08818987154293376,3.080672268907563,0.6883669828884976,0.5350403266203403,0.6923456854907897,0.1381436856142545,0.007780035859974287
0.0,0.0,0.8,0.3,0,80,2589,589,2000,0.5026964560806323,0.08348203958470943,3.2529711375212225,0.726174302399888,0.5739572450119059,0.73000591452162,0.07234811731891497,0.00697652180861777
0.0,0.0,0.8,0.3,0,90,2589,589,2000,0.49798365936944444,0.08767678078782055,3.1697792869269947,0.7302271335947155,0.5816359671022931,0.7343482775162836,0.03527516740361724,0.007691283518853968
0.0,0.0,0.8,0.3,0,100,2598,598,2000,0.5053797632080879,0.08764265536382529,3.178929765886288,0.7402024004228327,0.5822467977627179,0.7446370834640519,0.04448752329050141,0.007710176891397349
0.0,0.0,0.8,0.3,1,0,300,300,0,0.5051825365363221,0.28900260046894,2.8966666666666665,0.5149073915868614,0.5044481898853242,0.5567382792462963,0.08870158976534383,0.08354936176276008
0.0,0.0,0.8,0.3,1,10,2361,599,1762,0.5087881684867045,0.10789152447328416,3.632721202003339,0.347910627722753,0.45028110789820125,0.35348443191033585,0.026164142973823256,0.011717812958519983
0.0,0.0,0.8,0.3,1,20,2596,599,1997,0.5084110615398948,0.10273958384506023,3.5559265442404007,0.4973650844801068,0.4473166340123589,0.5024718673658998,0.08817511779589748,0.010626168044884058
0.0,0.0,0.8,0.3,1,30,2590,590,2000,0.5011844176285876,0.0956141428639193,3.48135593220339,0.5849532465375467,0.3926356456580821,0.5884542175105896,0.1485894303412099,0.00914346716072088
