treatment,period,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,60.0,0.2,0,20,900,3.582222222222222,1.6407706710755552,0.5010163918363778,0.12725725666917953,0.09474971806538851,0.4249494018358487
moving,60.0,0.2,0,40,900,3.6444444444444444,1.6660739686868054,0.5016964813647727,0.16284003983083803,0.10191215075618083,0.2838510822620244
moving,60.0,0.2,0,60,900,4.128888888888889,1.6072920252153893,0.4849192554095859,0.16735954312509352,0.100945644417698,0.2617872271880431
moving,60.0,0.2,0,80,900,4.091111111111111,1.4630747261575492,0.5053043937162629,0.15904614983416196,0.0941763344723618,0.2772297381779773
moving,60.0,0.2,0,100,900,3.718888888888889,1.3307804263701344,0.47561438116841676,0.15730144723587688,0.09111802128757876,0.27834371507302597
moving,60.0,0.2,0,120,900,3.8577777777777778,1.2909064668568515,0.49772343379933165,0.15856284273060572,0.09656681904725288,0.2867508529706831
moving,60.0,0.2,0,140,900,3.9588888888888887,1.2380445553321797,0.4711507280374379,0.16132584888565488,0.10123610485326173,0.292209102429677
moving,60.0,0.2,0,160,900,4.234444444444445,1.2505697466986896,0.4623194455455479,0.16029533313885477,0.1050246124402503,0.3104837578801569
moving,60.0,0.2,0,180,900,4.214444444444444,1.2381043853955942,0.49337210487154687,0.1706906649583336,0.10584115427385624,0.2616639759011257
moving,60.0,0.2,0,200,900,4.335555555555556,1.2475140712732227,0.49657410500887583,0.16890993937202514,0.11031288374644196,0.28279125206779576
moving,60.0,0.2,1,0,900,3.4411111111111112,1.714603578702309,0.49489112524823464,0.21425236672476858,0.08104951781767934,-0.04061817531329565
moving,60.0,0.2,1,20,900,3.3466666666666667,1.541226063164576,0.511546506605351,0.13026240965354519,0.10185642461172166,0.4286176141259297
moving,60.0,0.2,1,40,900,3.58,1.4342012875929702,0.49478883423889464,0.16154113611644288,0.09489539941162087,0.26801991766705696
moving,60.0,0.2,1,60,900,3.796666666666667,1.307155520799096,0.4871718189844378,0.159848300622435,0.10632360330552362,0.31070977242021475
moving,60.0,0.2,1,80,900,3.577777777777778,1.2838983845026035,0.5003994400155964,0.17667457439327577,0.10925639990677154,0.24636453359282426
moving,60.0,0.2,1,100,900,3.7855555555555553,1.2163754090750392,0.4961190953764513,0.15947106129314248,0.09886539194935329,0.289695701853885
moving,60.0,0.2,1,120,900,3.8144444444444443,1.108558735086149,0.5208634876758121,0.15222159617153969,0.09055031790798328,0.29967161469758585
moving,60.0,0.2,1,140,900,3.8644444444444446,1.1476847332406144,0.509593825410709,0.165387132394117,0.09623904571652202,0.2550307266064398
moving,60.0,0.2,1,160,900,3.937777777777778,1.15494855852523,0.4831966493303465,0.1697892164329979,0.10516786629941721,0.2645349444438379
moving,60.0,0.2,1,180,900,3.7144444444444447,1.2976954882586722,0.48970720329316,0.1477205869242114,0.0937829381911901,0.32865453486405827
moving,60.0,0.2,1,200,900,3.85,1.276605742671645,0.49099892818351937,0.15828706492037223,0.1051630479486486,0.3138025569939184
moving,60.0,0.2,2,0,900,3.4411111111111112,1.7107109921799861,0.5035618120027335,0.19608786149487265,0.078552765369232,0.037730792693186625
moving,60.0,0.2,2,20,900,3.417777777777778,1.5394499578873964,0.5029833534523003,0.13125616156485465,0.09179434275351513,0.39931188611676227
moving,60.0,0.2,2,40,900,3.7022222222222223,1.4773081960690664,0.5042994020884014,0.15777790535645175,0.0920170887920046,0.2762646464703285
moving,60.0,0.2,2,60,900,3.9944444444444445,1.3228639899107046,0.48806241795571365,0.1625470671216005,0.1002068461416587,0.2805703317366391
moving,60.0,0.2,2,80,900,3.8922222222222222,1.318477891592151,0.4881450657233064,0.1566842911240333,0.102042327275119,0.3121081883191257
moving,60.0,0.2,2,100,900,3.6277777777777778,1.2588820241060257,0.49317658205536735,0.15757017863418252,0.09633955474565631,0.29076479226379287
moving,60.0,0.2,2,120,900,3.9133333333333336,1.238834577783132,0.5033422463884492,0.1680986021095683,0.10824259931129357,0.28006881840908543
moving,60.0,0.2,2,140,900,3.8055555555555554,1.2342214019922855,0.505370258689552,0.17391132720374122,0.10408248362333325,0.24197205979213057
moving,60.0,0.2,2,160,900,3.608888888888889,1.1833703697907791,0.5346640537324346,0.1717863041705296,0.10783806256835173,0.2680968561991765
