treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.5,0.0,True,0,60,900,2.858888888888889,1.1561809205256997,1.9096980626261304,1.1554786819448515,0.13684255166614712,0.10045263879741838,0.39541407749048163
moving,90,0.6,0.5,0.0,True,0,80,900,2.716666666666667,1.0649726131063966,1.6313589488403701,1.03633836685287,0.13770530559397423,0.1100546951631372,0.415734190675159
moving,90,0.6,0.5,0.0,True,0,100,900,2.6666666666666665,0.9988882709181132,1.4240120616794603,0.873288636848929,0.13152068452893814,0.10296202646643592,0.4290818200912186
moving,90,0.6,0.5,0.0,True,0,120,900,2.69,1.034144842638378,1.246734006196185,0.8671338976732352,0.12813747764910544,0.09634898312636705,0.424831334432409
moving,90,0.6,0.5,0.0,True,0,140,900,2.7111111111111112,1.0343483664655135,1.0738658765526035,0.7403739314057731,0.1277712248013354,0.09304993813203241,0.41854897058778406
moving,90,0.6,0.5,0.0,True,0,160,900,2.7855555555555553,1.084031683742696,0.8800663384604072,0.6383620331037184,0.12756107330319974,0.10676275612203277,0.4511876353009972
moving,90,0.6,0.5,0.0,True,0,180,900,2.752222222222222,1.0422974386504478,0.8250216915016014,0.7230427827906699,0.12963802403265018,0.11166076145701163,0.45335473298523554
moving,90,0.6,0.5,0.0,True,1,0,900,3.5588888888888888,1.6612842719109713,2.550491326624442,1.446831063106106,0.2129017685909361,0.08552561488544637,-0.01077188207348362
moving,90,0.6,0.5,0.0,True,1,20,900,3.19,1.4439567552773562,2.425224451607646,1.3857968008083918,0.08876904961300397,0.10640226075139723,0.6184477086205145
moving,90,0.6,0.5,0.0,True,1,40,900,2.9344444444444444,1.3246098889955078,2.2055055942861883,1.282275116707674,0.12957844042936006,0.1147554131399357,0.4604922774176997
moving,90,0.6,0.5,0.0,True,1,60,900,2.8466666666666667,1.2013140952954626,2.0958941701757987,1.288825854221379,0.1408961543567661,0.10204784635816913,0.3815025615442001
moving,90,0.6,0.5,0.0,True,1,80,900,2.87,1.0560881697198499,1.8634686133831606,1.3148724548191413,0.14125562928568655,0.0892182964441748,0.3456421634331447
