A,sigma_e,rho,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h,maladaptation
0.0,0.4,0.8,1,70,2566,570,1996,0.49451752863164705,0.2611932393432928,3.087719298245614,0.514402776388887,0.14849447859083012
0.0,0.4,0.8,1,80,2556,558,1998,0.4354591178417982,0.30694804914883284,3.360215053763441,0.5739129347977133,0.15561678937174112
0.0,0.4,0.8,1,90,2547,550,1997,0.5206707420253146,0.290595213957381,3.0272727272727273,0.5492776840603245,0.09626578308877393
0.0,0.4,0.8,1,100,2556,557,1999,0.5665561550004761,0.266929524832604,2.9658886894075405,0.49047373257134713,0.11681796935717667
0.0,0.8,0.0,0,0,300,300,0,0.5253740144606388,0.2851184678447322,2.9266666666666667,0.48268950806442623,0.2530859330592691
0.0,0.8,0.0,0,10,1223,534,689,0.11384682030215107,0.16635780090319677,3.445692883895131,0.11698037179637912,0.3626486717580039
0.0,0.8,0.0,0,20,1638,534,1104,0.10780090820316603,0.16140068742671143,3.2752808988764044,0.21528283043529636,0.31582237792665013
0.0,0.8,0.0,0,30,2138,549,1589,0.16757045866684198,0.24000866589973358,3.1475409836065573,0.28706382314437995,0.3392640059304647
0.0,0.8,0.0,0,40,2324,566,1758,0.2335761882297896,0.28622761604832836,3.0547703180212014,0.33686926113087867,0.37959156910894226
0.0,0.8,0.0,0,50,2437,566,1871,0.24757716008703567,0.3331698844575594,3.0742049469964665,0.33438965740700016,0.3429745325231074
0.0,0.8,0.0,0,60,2497,517,1980,0.3322024277036638,0.3301410997981266,3.0599613152804643,0.38541545482300305,0.29506323340225754
0.0,0.8,0.0,0,70,2536,559,1977,0.4009137224831494,0.36461757867957,3.1341681574239715,0.4382430330244743,0.2765317869650566
0.0,0.8,0.0,0,80,2556,571,1985,0.3753964155685127,0.3752316302787352,3.087565674255692,0.429472833617885,0.3506825699508582
0.0,0.8,0.0,0,90,2521,552,1969,0.36201084058738475,0.3761770330353082,3.039855072463768,0.4537607133493683,0.3608948421156945
0.0,0.8,0.0,0,100,2529,544,1985,0.4421448758654908,0.39296556953357653,3.3106617647058822,0.47753637033202356,0.32054774807257097
0.0,0.8,0.0,1,0,300,300,0,0.49813740429412084,0.28015593425166385,2.9233333333333333,0.502253822207988,0.26697258477404245
0.0,0.8,0.0,1,10,1422,580,842,0.18022740569149,0.17582205824760802,3.643103448275862,0.17594626270846422,0.29431507711612653
0.0,0.8,0.0,1,20,1769,541,1228,0.15781454046201324,0.18970631602210813,3.510166358595194,0.24405896446842645,0.31314882233507735
0.0,0.8,0.0,1,30,2119,577,1542,0.1424231655805581,0.17392661401898202,3.3604852686308493,0.3095657578559879,0.3189347378391321
0.0,0.8,0.0,1,40,2443,558,1885,0.23501231943312303,0.2872159406888836,3.2992831541218637,0.3888834147501165,0.2997539315582845
0.0,0.8,0.0,1,50,2490,562,1928,0.30252962553172447,0.34294256590740985,3.0516014234875444,0.42914005003207706,0.38391992886481324
0.0,0.8,0.0,1,60,2493,564,1929,0.3842414492391686,0.3692970609448232,2.973404255319149,0.40591948110397946,0.32630072393309817
0.0,0.8,0.0,1,70,2466,543,1923,0.4955323557957971,0.3939389775741083,3.0589318600368323,0.39380601197733284,0.28797401667590994
0.0,0.8,0.0,1,80,2509,523,1986,0.5082014902772877,0.38806199590923207,3.0936902485659656,0.4466312430006885,0.3725687764404756
0.0,0.8,0.0,1,90,2520,549,1971,0.49458931281450164,0.3785498842686392,3.0327868852459017,0.4460476847659318,0.263522287348215
0.0,0.8,0.0,1,100,2489,546,1943,0.5850335935911252,0.3670582663325227,2.998168498168498,0.3567332446297818,0.27189767712114543
0.0,0.8,0.8,0,0,300,300,0,0.515372725873044,0.29858893852368407,3.013333333333333,0.4751604945364315,0.20447508380193075
0.0,0.8,0.8,0,10,1429,567,862,0.24424429130046094,0.26411230330179675,3.7160493827160495,0.15747830141782,0.24010143202596293
0.0,0.8,0.8,0,20,1917,576,1341,0.15531145735188823,0.22065721711820577,4.001736111111111,0.26774167069502913,0.37287718439052875
0.0,0.8,0.8,0,30,2367,561,1806,0.21132939254860486,0.2693359524040709,3.584670231729055,0.40967555452623394,0.1434312174334225
0.0,0.8,0.8,0,40,2482,558,1924,0.32133384425322664,0.36378443192232696,3.621863799283154,0.4611996111806901,0.19317214751902065
0.0,0.8,0.8,0,50,2531,566,1965,0.41882937684028015,0.4115012824141627,3.9063604240282683,0.4899672726301723,0.23887494821008112
0.0,0.8,0.8,0,60,2563,581,1982,0.5374668523724025,0.4173857293745121,3.9036144578313254,0.4701266197538315,0.2676048635874569
0.0,0.8,0.8,0,70,2566,566,2000,0.567700658078958,0.4132932145449733,3.7879858657243815,0.5023692450358702,0.21741236905552802
0.0,0.8,0.8,0,80,2546,568,1978,0.7092250779619567,0.3672823611845972,3.982394366197183,0.5054932495554836,0.22995381834122072
0.0,0.8,0.8,0,90,2543,582,1961,0.6665762813260662,0.3699905862922386,3.814432989690722,0.4985550092151989,0.2901932458333138
0.0,0.8,0.8,0,100,2525,550,1975,0.6795293082856303,0.34637910018127144,3.2145454545454544,0.4798048412856593,0.22110611643086764
