N,boundary_complexity,bridge_formula,bridge_score,cluster_count,coexistence,entropy,epsilon,motif_persistence,order,phase_variance,r,sensitivity,spatial_entropy,steps,temporal_entropy,transient
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.012404012596007307,11,0.7607574655476428,0.6621482906064554,0.30000000000000004,0.7387931034482759,0.9013908250588126,0.07100369662200423,3.6875,0.04834107570289983,0.7449412412835204,300,0.5609569064455981,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.02032623817230794,9,0.8149086709259534,0.7263525299295336,0.4,0.8048850574712644,0.9114438590035802,0.055252834929119254,3.6875,0.06422997960254263,0.8246901133672707,300,0.6061621501722992,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0319946711323722,7,0.8448695391228077,0.766912194594775,0.5,0.6926724137931034,0.9220426554719673,0.037379461396053526,3.6875,0.09734980018556082,0.8478741905372894,300,0.6679586439983682,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.050793941943855,6,0.8903683920038604,0.7884017031009722,0.6000000000000001,0.6344827586206897,0.8980333110971118,0.054126315139890524,3.6875,0.15168354817665805,0.844878155848676,300,0.7193749275204453,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03677178299706875,5,0.8520261685779212,0.7816840255674025,0.7000000000000001,0.6603448275862069,0.9296578569894812,0.029089714431311697,3.6875,0.11005903978267088,0.8458582798409255,300,0.7032488258997631,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03161034667530589,5,0.8998882036884663,0.8071422971613194,0.8,0.6175287356321839,0.907254093472853,0.053246309005917536,3.6875,0.0912486171211034,0.8420954727396821,300,0.7644217492322094,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03983163946780586,3,0.8488126912019665,0.7981440268339379,0.9,0.6339080459770114,0.9493313356319715,0.02319183305106476,3.6875,0.1166289219763399,0.8393076007482613,300,0.7478329920497646,450
48,0.11979166666666667,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.011562560053450514,22,0.8092558870517692,0.7215992913305473,1.0,0.7047413793103449,0.9123434042787781,0.06321058615406228,3.6875,0.0367980548078485,0.8195955201845043,300,0.6018261227312666,450
48,0.1713888888888889,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.004465430730558211,14,0.9560794683888056,0.8597063724513136,0.0,0.20488505747126437,0.903626904062508,0.08563286354623822,3.725,0.014056091975881993,0.8648337025364409,300,0.8534396356806024,450
48,0.15354166666666666,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.02018891777110642,30,0.7566736252445347,0.6544809768919919,0.1,0.6714080459770115,0.8978073516474572,0.08239977374207508,3.725,0.07720755247242472,0.7129351072171416,300,0.58303703982792,450
48,0.00020833333333333335,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.019245862744467556,20,0.6468748244935372,0.5520827747349243,0.2,0.7413793103448276,0.9052079502413871,0.0635936100545823,3.725,0.10518144205242907,0.6129431484174002,300,0.47769787356745363,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.023777390097961565,13,0.6818176382592698,0.6034126810878186,0.30000000000000004,0.7653735632183908,0.9215950428285489,0.05649730289063892,3.725,0.10930031369376919,0.7032915144999061,300,0.4813385513619338,450
