r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,101,0.001,4,fixed_half,0.5,0.7557012810181988,0.00018335107983663725,8.303757355321684e-05,0.7555179299383621
3.8625,0.132,320,1440,101,0.001,4,median,0.7258749008178711,0.9935994591917687,7.371664534694237e-05,7.919938122684326e-05,0.9935257425464218
3.8625,0.132,320,1440,101,0.001,6,fixed_half,0.5,0.6681953588498145,1.7038718465492404e-05,6.503477332866391e-06,0.668178320131349
3.8625,0.132,320,1440,101,0.001,6,median,0.7258749008178711,0.9914875709175357,0.0,0.0,0.9914875709175357
3.8625,0.132,320,1440,137,0.001,4,fixed_half,0.5,0.7572225148541911,1.771605073764029e-05,0.0,0.7572047988034535
3.8625,0.132,320,1440,137,0.001,4,median,0.7179781198501587,0.9977125408262296,1.76678445229682e-06,0.0,0.9977107740417773
3.8625,0.132,320,1440,137,0.001,6,fixed_half,0.5,0.6702789547156826,4.41696113074205e-07,0.0,0.6702785130195694
3.8625,0.132,320,1440,137,0.001,6,median,0.7179781198501587,0.9967598702430284,0.0,0.0,0.9967598702430284
3.8625,0.132,320,1440,173,0.001,4,fixed_half,0.5,0.7311242207780463,0.0,0.0,0.7311242207780463
3.8625,0.132,320,1440,173,0.001,4,median,0.696009635925293,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,173,0.001,6,fixed_half,0.5,0.6469774155029333,0.0,0.0,0.6469774155029333
3.8625,0.132,320,1440,173,0.001,6,median,0.696009635925293,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,211,0.001,4,fixed_half,0.5,0.7603785380344831,0.0,0.0,0.7603785380344831
3.8625,0.132,320,1440,211,0.001,4,median,0.6952755451202393,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,211,0.001,6,fixed_half,0.5,0.6760838516506981,0.0,0.0,0.6760838516506981
3.8625,0.132,320,1440,211,0.001,6,median,0.6952755451202393,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,257,0.001,4,fixed_half,0.5,0.685011105827199,2.931233060244089e-05,0.0,0.6849817934965966
3.8625,0.132,320,1440,257,0.001,4,median,0.7326544523239136,0.998089464028916,0.0,0.0,0.998089464028916
3.8625,0.132,320,1440,257,0.001,6,fixed_half,0.5,0.5870840222195357,2.717354794502143e-06,0.0,0.5870813048647412
3.8625,0.132,320,1440,257,0.001,6,median,0.7326544523239136,0.9972975095877168,0.0,0.0,0.9972975095877168
