r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,401,0.001,6,0.5,0.7296449542045593,0.9972580123081538,0.0,0.0,0.9972580123081538
3.8625,0.132,320,1440,401,0.001,6,0.75,0.8858268857002258,0.2795047099059028,0.002649302536121463,0.0,0.27685540736978137
3.8625,0.132,320,1440,457,0.001,4,0.25,0.4657640755176544,0.3345222803952034,0.017810953213089925,2.0794815023916328e-05,0.3167113271821135
3.8625,0.132,320,1440,457,0.001,4,0.5,0.7249230146408081,0.996236459816552,0.0,0.0,0.996236459816552
3.8625,0.132,320,1440,457,0.001,4,0.75,0.885815441608429,0.3333079766756627,0.015003742388659988,2.171999369958989e-05,0.3183042342870027
3.8625,0.132,320,1440,457,0.001,6,0.25,0.4657640755176544,0.27751628722061616,0.003253148600567148,8.992805755395683e-07,0.27426313862004903
3.8625,0.132,320,1440,457,0.001,6,0.5,0.7249230146408081,0.9948424155638765,0.0,0.0,0.9948424155638765
3.8625,0.132,320,1440,457,0.001,6,0.75,0.885815441608429,0.2780082923817745,0.0025635812666030423,9.160581982175455e-07,0.27544471111517144
3.8625,0.132,320,1440,17,0.003,4,0.25,0.465429425239563,0.2643177976892804,0.05712632950842413,8.007035372387167e-05,0.20719146818085624
3.8625,0.132,320,1440,17,0.003,4,0.5,0.7335286140441895,0.9784246671696751,1.2183501400359044e-05,1.1517747808465869e-05,0.9784124836682748
3.8625,0.132,320,1440,17,0.003,4,0.75,0.8856829404830933,0.2635175704736928,0.052269380264346355,5.33720986202037e-05,0.21124819020934643
3.8625,0.132,320,1440,17,0.003,6,0.25,0.465429425239563,0.13745465083416955,0.013892787841064421,0.0,0.12356186299310513
3.8625,0.132,320,1440,17,0.003,6,0.5,0.7335286140441895,0.9691596603114145,0.0,0.0,0.9691596603114145
3.8625,0.132,320,1440,17,0.003,6,0.75,0.8856829404830933,0.13780695443921137,0.011883662960792761,0.0,0.1259232914784186
3.8625,0.132,320,1440,42,0.003,4,0.25,0.4654080867767334,0.2637779881934361,0.05423865062584676,8.3087072534118e-05,0.20953933756758936
3.8625,0.132,320,1440,42,0.003,4,0.5,0.7303904294967651,0.9847838246429834,0.0001662927906532355,0.0002150369641745727,0.9846175318523301
3.8625,0.132,320,1440,42,0.003,4,0.75,0.8856840133666992,0.2636077409798268,0.04938262649414969,5.758278307283194e-05,0.2142251144856771
3.8625,0.132,320,1440,42,0.003,6,0.25,0.4654080867767334,0.13765028951308042,0.012913332327074766,3.0305765446441252e-06,0.12473695718600565
3.8625,0.132,320,1440,42,0.003,6,0.5,0.7303904294967651,0.978854293420832,0.0,0.0,0.978854293420832
3.8625,0.132,320,1440,42,0.003,6,0.75,0.8856840133666992,0.1386801963511977,0.01107802331615442,0.0,0.12760217303504326
3.8625,0.132,320,1440,73,0.003,4,0.25,0.46555230021476746,0.2618608776209735,0.05682525379306143,6.512380668403258e-05,0.20503562382791207
3.8625,0.132,320,1440,73,0.003,4,0.5,0.7325852513313293,0.9835639291256072,1.6792319328551213e-05,2.47653496882624e-05,0.9835471368062787
3.8625,0.132,320,1440,73,0.003,4,0.75,0.8856829404830933,0.2612050781992979,0.0526573587434477,4.8205301030648254e-05,0.20854771945585018
3.8625,0.132,320,1440,73,0.003,6,0.25,0.46555230021476746,0.13521200590026267,0.013768693813916048,0.0,0.12144331208634662
3.8625,0.132,320,1440,73,0.003,6,0.5,0.7325852513313293,0.9762613520687307,0.0,0.0,0.9762613520687307
3.8625,0.132,320,1440,73,0.003,6,0.75,0.8856829404830933,0.13524679914098744,0.011997716042870189,0.0,0.12324908309811726
3.8625,0.132,320,1440,101,0.003,4,0.25,0.46539992094039917,0.2631982657103905,0.057002455664384444,3.6678349861582986e-05,0.20619581004600607
3.8625,0.132,320,1440,101,0.003,4,0.5,0.7327927350997925,0.9835901119335236,1.1649810404425493e-05,1.188093825946139e-05,0.9835784621231192
3.8625,0.132,320,1440,101,0.003,4,0.75,0.8857227563858032,0.2618395530778651,0.052032106956960124,2.6758218940783614e-05,0.209807446120905
3.8625,0.132,320,1440,101,0.003,6,0.25,0.46539992094039917,0.13648058592159995,0.013790115396735603,0.0,0.12269047052486434
3.8625,0.132,320,1440,101,0.003,6,0.5,0.7327927350997925,0.9761795610816563,0.0,0.0,0.9761795610816563
3.8625,0.132,320,1440,101,0.003,6,0.75,0.8857227563858032,0.1359484788179923,0.011561380333799814,0.0,0.12438709848419248
3.8625,0.132,320,1440,137,0.003,4,0.25,0.46550679206848145,0.26465969890542895,0.05449989093580585,8.387833122931416e-05,0.2101598079696231
3.8625,0.132,320,1440,137,0.003,4,0.5,0.7284451127052307,0.9835420137144153,0.00019106782914036596,0.0002089250737472288,0.9833509458852749
3.8625,0.132,320,1440,137,0.003,4,0.75,0.8856872916221619,0.2640068562513375,0.050586008022613774,4.676463206731435e-05,0.21342084822872376
3.8625,0.132,320,1440,137,0.003,6,0.25,0.46550679206848145,0.13776136223013222,0.01290602164238478,0.0,0.12485534058774744
3.8625,0.132,320,1440,137,0.003,6,0.5,0.7284451127052307,0.976617274406318,0.0,0.0,0.976617274406318
3.8625,0.132,320,1440,137,0.003,6,0.75,0.8856872916221619,0.1382814447521815,0.01147069709847996,0.0,0.12681074765370154
3.8625,0.132,320,1440,173,0.003,4,0.25,0.46535444259643555,0.2647859802327496,0.05401396190336681,1.6149345538352424e-05,0.21077201832938275
3.8625,0.132,320,1440,173,0.003,4,0.5,0.7315793037414551,0.9848043000307267,0.0,0.0,0.9848043000307267
3.8625,0.132,320,1440,173,0.003,4,0.75,0.8856731653213501,0.2635530085348513,0.04939314989697858,1.0046860100216938e-05,0.21415985863787274
3.8625,0.132,320,1440,173,0.003,6,0.25,0.46535444259643555,0.13788758401597462,0.012584518989011645,0.0,0.12530306502696298
3.8625,0.132,320,1440,173,0.003,6,0.5,0.7315793037414551,0.9779073814992273,0.0,0.0,0.9779073814992273
